Num,Comments,Sample,MAPbI,MAPbBr,MAPbCl,Capping,Concentration,Annealing,Red,Green,Blue,Merit
0,-,#0-D1-MAPIBr_3_1_5mM_100C_cap7-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,07,5,100,23770.77122,27798.74887,10084.39152,61653.91161
1,-,#1-C1-MAPIBr_3_1_5mM_100C_cap10-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,10,5,100,27245.67882,31544.53622,2401.469214,61191.68425
2,-,#2-B1-MAPIBr_3_1_10mM_75C_cap7-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,07,10,75,21235.66749,31587.02681,15972.91144,68795.60573
3,-,#3-A1-MAPIBr_3_1_10mM_75C_cap10-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,10,10,75,22947.42903,25019.32298,9109.06816,57075.82017
4,-,#4-D2-MAPIBr_3_1_5mM_100C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,PTEAI,5,100,20783.09328,17964.78386,2319.113078,41066.99022
5,-,#5-C2-MAPIBr_3_1_10mM_75C_cap8-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,08,10,75,29964.01622,32973.0386,2910.292982,65847.3478
6,-,#6-B2-MAPIBr_3_1_10mM_75C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,PTEAI,10,75,13366.62491,10831.0169,3539.82346,27737.46527
7,-,#7-A2-MAPIBr_3_1_5mM_75C_cap8-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,08,5,75,24842.82513,27760.50732,2244.478536,54847.81098
8,-,#8-D3-MAPIBr_3_1_10mM_75C_cap9-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,09,10,75,26295.76537,22010.11106,4018.032728,52323.90915
9,-,#9-C3-MAPIBr_3_1_5mM_75C_cap6-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,06,5,75,31159.661,31390.99561,8672.835291,71223.49191
10,-,#10-B3-MAPIBr_3_1_5mM_75C_cap9-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,09,5,75,25000.14914,21989.11903,9428.560641,56417.82881
11,-,#11-A3-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,0,0,0,30075.42822,28755.31217,4814.012494,63644.75289
12,-,#12-D4-MAPIBr_3_1_5mM_75C_cap7-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,07,5,75,20875.93053,26972.9644,7529.344871,55378.2398
13,-,#13-C4-MAPIBr_3_1_5mM_75C_cap10-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,10,5,75,24088.75001,29360.69676,2849.859895,56299.30667
14,-,#14-B4-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,0,0,0,29425.44196,29840.5238,4947.712873,64213.67863
15,-,#15-A4-MAPIBr_3_1_10mM_100C_cap6-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,06,10,100,24488.69729,20413.81788,8873.172265,53775.68744
16,-,#16-D5-MAPIBr_3_1_5mM_75C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,PTEAI,5,75,14800.04099,10753.83108,2158.78273,27712.6548
17,-,#17-C5---MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,NaN,0,0,170.9990125,64.18363916,1577.094885,1812.277537
