Num,Comments,Sample,MAPbI,MAPbBr,MAPbCl,Capping,Concentration,Annealing,Red,Green,Blue,Merit
0,-,#0-D1-MAPIBr_3_1_10mM_100C_cap4-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,04,10,100,29367.08783,29009.29938,9388.487136,67764.87435
1,-,#1-C1-MAPIBr_3_1_5mM_100C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,01,5,100,30574.6422,33845.18519,6028.895624,70448.72301
2,-,#2-B1---MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,NaN,0,0,91.01422046,108.5207791,1517.987471,1717.522471
3,-,#3-A1-MAPIBr_3_1_10mM_75C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,01,10,75,22419.82528,29284.04816,8244.812705,59948.68614
4,-,#4-D2-MAPIBr_3_1_5mM_100C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,02,5,100,32721.35794,32845.41999,6051.592718,71618.37065
5,-,#5-C2-MAPIBr_3_1_5mM_100C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,05,5,100,31093.2021,29280.61594,10110.45281,70484.27085
6,-,#6-B2-MAPIBr_3_1_10mM_75C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,02,10,75,26125.01079,31727.27079,8065.253664,65917.53525
7,-,#7-A2-MAPIBr_3_1_10mM_75C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,05,10,75,27787.33925,26180.32902,3940.033408,57907.70169
8,-,#8-D3-MAPIBr_3_1_5mM_100C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,PTEAI,5,100,25986.22649,22646.02254,5245.131448,53877.38048
9,-,#9-C3-MAPIBr_3_1_10mM_75C_cap3-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,03,10,75,30082.02563,32043.44022,7541.044848,69666.51069
10,-,#10-B3-MAPIBr_3_1_10mM_75C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,PTEAI,10,75,18255.72885,14727.8498,6745.337054,39728.9157
11,-,#11-A3-MAPIBr_3_1_5mM_75C_cap3-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,03,5,75,27221.26452,22885.48712,11667.58484,61774.33649
12,-,#12-D4-MAPIBr_3_1_10mM_75C_cap4-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,04,10,75,31691.09664,29900.35541,10031.08642,71622.53846
13,-,#13-C4-MAPIBr_3_1_5mM_75C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,01,5,75,25292.98699,31529.47849,7535.489792,64357.95527
14,-,#14-B4-MAPIBr_3_1_5mM_75C_cap4-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,04,5,75,29141.48891,28627.37457,14052.10664,71820.97012
15,-,#15-A4-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,0,0,0,26888.01014,24362.88008,5660.080302,56910.97052
16,-,#16-D5-MAPIBr_3_1_5mM_75C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,02,5,75,23214.88617,28056.47552,4784.40004,56055.76173
17,-,#17-C5-MAPIBr_3_1_5mM_75C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,05,5,75,25727.07925,24094.29439,9378.26348,59199.63712
18,-,#18-B5-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,0,0,0,27187.40167,27816.53482,4824.315209,59828.2517
19,-,#19-A5-MAPIBr_3_1_10mM_100C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,01,10,100,25810.8247,28376.65599,6774.377462,60961.85816
20,-,#20-D6-MAPIBr_3_1_5mM_75C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,PTEAI,5,75,17905.97886,14917.14831,2334.783558,35157.91073
21,-,#21-C6-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,0,0,0,27307.85052,27219.70436,3827.471923,58355.0268
22,-,#22-B6-MAPIBr_3_1_10mM_100C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,02,10,100,26217.04085,25452.66964,8947.366662,60617.07716
23,-,#23-A6-MAPIBr_3_1_10mM_100C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,05,10,100,28627.64849,22057.96723,4692.055593,55377.67131
